episode,step,action,reward,total_reward,terminated,truncated,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43
0,0,5,0.0,0.0,False,False,0.4257872371991382,0.0,0.670368196859387,0.03129767115194355,2.584688670047814,2.8139168685663263,0.8417618652485738,0.03410478595684549,2.798222569644989,2.9445916322982915,0.2288966344062615,2.1018991736780525e-05,2.9083841693797163,3.1654856151513258,0.7276051184848876,0.02336807303790678,2.9852852415991227,3.193815486718769,0.23443953267870066,0.02903259222448465,3.0553204956915065,3.2148357760832473,0.4819500501915177,0.017879591749326757,3.0478036141311864,3.3036747142057514,0.3764699090852893,0.03852582299582758,3.329044326429863,3.5458065052817505,0.09858836376904145,0.05420184230942561,3.471995392843233,3.604357938985021,0.619275998050239,0.04953972120988796,3.433576851312311,3.6953496986078243,0.6007227048142321,0.053863556299989825,3.491308934293444,3.7161948439881196,-0.052456140350877194,-0.052456140350877194
0,1,0,0.0,0.0,False,False,0.5897682040072248,0.0,0.670368196859387,0.9915299548559218,1.5846886700478142,1.813916868566326,0.8417618652485738,1.051567199711495,1.798222569644989,1.9445916322982915,0.2288966344062615,1.0070901513151187,1.9083841693797163,2.1654856151513258,0.7276051184848876,1.0402483448509916,1.9852852415991227,2.193815486718769,0.23443953267870066,1.0470370124755004,2.0553204956915065,2.2148357760832473,0.4819500501915177,1.025858572420206,2.0478036141311864,2.3036747142057514,0.3764699090852893,0.9985646894310224,2.329044326429863,2.5458065052817505,0.09858836376904145,1.0468990878169904,2.471995392843233,2.604357938985021,0.619275998050239,1.0141674873074786,2.433576851312311,2.6953496986078243,0.6007227048142321,1.002164285075073,2.491308934293444,2.7161948439881196,-0.10508771929824562,-0.10508771929824562
0,2,3,0.0,0.0,False,False,0.5537284966295117,0.0,0.670368196859387,0.045058982997971064,0.5846886700478141,0.8139168685663261,0.8417618652485738,0.09193247785400552,0.7982225696449889,0.9445916322982915,0.2288966344062615,5.6266412711844246e-05,0.9083841693797164,1.1654856151513255,0.7276051184848876,0.06182433823196218,0.9852852415991227,1.1938154867187691,0.23443953267870066,0.07303510257823845,1.0553204956915063,1.2148357760832476,0.4819500501915177,0.03385896847861623,1.0478036141311866,1.3036747142057517,0.3764699090852893,0.015945933395443805,1.3290443264298626,1.5458065052817505,0.09858836376904145,0.06434955863058513,1.4719953928432332,1.6043579389850213,0.619275998050239,0.01592080747589348,1.4335768513123108,1.6953496986078245,0.6007227048142321,0.01671737929460891,1.4913089342934442,1.7161948439881196,-0.15771929824561404,-0.15771929824561404
0,3,1,0.4493935193605058,0.4493935193605058,False,False,0.5359990463944302,5e-05,0.8417618652485738,0.4252088156072221,0.20988923631165562,0.35625829896495814,0.2288966344062615,0.3910613648948694,0.32005083604638307,0.5771522818179923,0.7276051184848876,0.465086633519519,0.39695190826578935,0.6054821533854359,0.23443953267870066,0.48685761238744085,0.466987162358173,0.6265024427499142,0.4819500501915177,0.4611241092232586,0.4594702807978532,0.7153413808724183,0.3764699090852893,0.46805427788459125,0.7407109930965293,0.9574731719484172,0.09858836376904145,0.5183116548176091,0.8836620595098998,1.016024605651688,0.619275998050239,0.48787536097882944,0.8452435179789776,1.107016365274491,0.6007227048142321,0.47928272902312413,0.9029756009601109,1.1278615106547862,0.897136508326211,0.5181600678898468,1.0048504624879866,1.1351289980136532,-0.1886842105263158,-0.1886842105263158
0,4,3,0.5294092084454074,0.9788027278059133,False,False,0.5135356931315437,0.0001,0.2288966344062615,0.30261512193615614,-0.0816158306202836,0.17548561515132557,0.23443953267870066,0.09547148503684358,0.06532049569150634,0.22483577608324745,0.4819500501915177,0.20704640434720553,0.0578036141311865,0.31367471420575155,0.3764699090852893,0.4897691662582176,0.3390443264298627,0.5558065052817506,0.09858836376904145,0.43067911207911436,0.4819953928432331,0.6143579389850212,0.619275998050239,0.48956809273394336,0.4435768513123109,0.7053496986078244,0.6007227048142321,0.5201412925691745,0.5013089342934443,0.7261948439881197,0.897136508326211,0.46218374995835415,0.6031837958213199,0.7334623313469865,0.12383470899462012,0.4884754217135193,0.5261304843387847,0.7860278723275549,0.7728605671900417,0.519425303832759,0.6175889780402971,0.8766377796675033,-0.20982456140350877,-0.20982456140350877
0,5,3,0.23227585087960645,1.2110785786855196,False,False,0.5058662965538064,0.00015,0.2288966344062615,0.3904857570598683,-0.2016158306202836,0.05548561515132557,0.23443953267870066,0.18988311937346286,-0.05467950430849366,0.10483577608324746,0.3764699090852893,0.4768416406342326,0.21904432642986268,0.4358065052817506,0.09858836376904145,0.48361706306153573,0.3619953928432331,0.49435793898502123,0.619275998050239,0.5184278838252512,0.3235768513123109,0.5853496986078244,0.6007227048142321,0.548605954255605,0.3813089342934442,0.6061948439881196,0.897136508326211,0.5301285914967778,0.4831837958213199,0.6134623313469865,0.12383470899462012,0.5382618264721661,0.40613048433878474,0.6660278723275549,0.7728605671900417,0.5715434193965647,0.49758897804029706,0.7566377796675033,0.19941452045038643,0.5664995466098064,0.6530245100799941,0.7750370406029076,-0.216140350877193,-0.216140350877193
0,6,3,0.141729592446686,1.3528081711322055,False,False,0.49623629943429864,0.0002,0.09858836376904145,0.4408190454650856,0.1386620595098998,0.2710246056516879,0.619275998050239,0.2672861463114738,0.10024351797897756,0.36201636527449105,0.6007227048142321,0.2731411143550571,0.15797560096011087,0.38286151065478635,0.897136508326211,0.47467041817474553,0.25985046248798654,0.3901289980136532,0.12383470899462012,0.38019161028980536,0.1827971510054514,0.4426945389942216,0.7728605671900417,0.3989638128005279,0.27425564470696373,0.53330444633417,0.19941452045038643,0.5157987295341484,0.4296911767466607,0.5517037072695742,0.7479963544901668,0.4702897908898238,0.34409274295361303,0.5877270122882957,0.133851315031574,0.4289895847888921,0.3352236350247919,0.5950526271618644,0.08901175995319566,0.4223158910676848,0.36496438506860157,0.6016751658941317,-0.22789473684210526,-0.22789473684210526
0,7,3,0.36086776807932697,1.7136759392115324,False,False,0.49319106904138726,0.00025,0.09858836376904145,0.47712781287563955,-0.023004607156766877,0.10935793898502122,0.619275998050239,0.1430964129784917,-0.06142314868768911,0.2003496986078244,0.897136508326211,0.42799813239842743,0.09818379582131986,0.2284623313469865,0.12383470899462012,0.24706793720046122,0.021130484338784755,0.28102787232755494,0.7728605671900417,0.2632411123058866,0.11258897804029705,0.37163777966750333,0.19941452045038643,0.4692718591090551,0.26802451007999406,0.39003704060290756,0.7479963544901668,0.39276550398914245,0.18242607628694638,0.42606034562162903,0.133851315031574,0.3243085462832334,0.17355696835812523,0.4333859604951977,0.08901175995319566,0.3199324420629796,0.20329771840193492,0.4400084992274651,0.4600044922457327,0.4087314048099361,0.2499193974177418,0.5112596010854054,-0.23640350877192984,-0.23640350877192984
0,8,3,0.8048539145717456,2.518529853783278,False,False,0.48431520510242493,0.0003,0.619275998050239,0.3914218885954841,-0.22642314868768912,0.035349698607824394,0.12383470899462012,0.2018909151333741,-0.14386951566121525,0.11602787232755493,0.7728605671900417,0.39526411433507663,-0.052411021959702944,0.2066377796675033,0.19941452045038643,0.3590078519026901,0.10302451007999404,0.22503704060290752,0.7479963544901668,0.36190126193903716,0.01742607628694638,0.26106034562162905,0.133851315031574,0.4695966252568115,0.008556968358125232,0.26838596049519764,0.08901175995319566,0.5448316469178186,0.03829771840193492,0.2750084992274651,0.4600044922457327,0.5086281060943042,0.0849193974177418,0.3462596010854054,0.8667835328803779,0.5536409432823467,0.2779026490187592,0.3750081050849,0.920217735326095,0.5908598655558666,0.35204418607972454,0.40723503173468845,-0.2450877192982456,-0.2450877192982456
0,9,9,0.7513136928725892,3.269843546655867,False,False,0.46630480652094247,0.00035,0.4600044922457327,0.37094893034146836,-0.19674726924892488,0.06459293441873873,0.920217735326095,0.11989830453899367,0.0703775194130579,0.1255683650680218,0.12963058476964084,0.49854581749789745,0.05443975811277293,0.29976100034084613,0.4492467447238627,0.5317237155433994,0.07389977325925201,0.3046993321991188,0.21204669189661807,0.38954420283764885,0.07681762775687655,0.3311027163034767,0.36442330375396625,0.6966740289854046,0.4637387324227135,0.6006803776290219,0.9158094061587794,0.7047073668647564,0.5073991556386978,0.6130970229030974,0.8862220483535761,0.7006561953156765,0.4973124361992124,0.6346748739785418,0.8177658031865311,0.6990957848141107,0.4968012144597598,0.6461021927919159,0.3508612774745018,0.693441579103174,0.4791511380375512,0.6511874760648069,-0.2599122807017544,-0.2599122807017544
